1734623273,3.3,34.4
1734623275,9.2,34.4
1734623277,5.7,34.4
1734623279,8.8,34.4
1734623281,6.8,34.3
1734623283,2.0,34.3
1734623285,10.8,34.2
1734623287,3.7,34.2
1734623289,2.0,34.2
1734623291,2.2,34.2
1734623293,1.7,34.2
1734623295,2.7,34.2
1734623297,7.2,34.2
1734623299,8.8,34.2
1734623301,4.6,34.2
1734623303,2.3,34.2
1734623305,5.3,34.2
1734623307,6.4,34.2
1734623309,3.3,34.2
1734623311,6.2,34.3
1734623313,8.8,34.3
1734623315,2.9,34.3
1734623317,5.1,34.3
1734623319,4.4,34.3
1734623321,3.9,34.3
1734623323,3.5,34.3
1734623325,4.4,34.3
1734623327,2.6,34.3
1734623329,4.0,34.4
1734623331,3.9,34.3
1734623333,3.7,34.3
1734623335,2.7,34.3
1734623337,16.5,34.4
1734623339,1.6,34.4
1734623341,5.5,34.4
